track_name,artist(s)_name,artist_count,released_day,released_month,released_year,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,streams
Agudo Magico 3,"Styrx, utku INC, Thezth",3,1,1,1930,323,0,4,0,14,0,90598517
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1,1,1942,11940,0,73,79,123,0,395591396
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1,11,1946,11500,0,140,72,251,0,389771964
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1,1,1950,10585,0,126,108,406,0,473248298
A Holly Jolly Christmas - Single Version,Burl Ives,1,1,1,1952,7930,0,108,120,73,0,395591396
Jingle Bell Rock,Bobby Helms,1,1,1,1957,10326,0,165,99,104,0,741301563
Jingle Bells - Remastered 1999,Frank Sinatra,1,1,1,1957,4326,0,32,3,65,0,178660459
Rockin' Around The Christmas Tree,Brenda Lee,1,1,1,1958,14994,0,191,168,206,0,769213520
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1,1,1958,6290,0,89,39,158,0,295998468
Run Rudolph Run - Single Version,Chuck Berry,1,1,1,1958,8612,0,120,30,52,0,245350949
Deck The Hall - Remastered 1999,Nat King Cole,1,1,1,1959,3299,0,65,39,41,0,127027715
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,16,11,1959,6512,0,88,1,277,0,446390129
It's the Most Wonderful Time of the Year,Andy Williams,1,14,10,1963,8879,0,182,107,160,0,663832097
Sleigh Ride,The Ronettes,1,22,11,1963,10114,0,114,74,262,0,404664135
Christmas (Baby Please Come Home),Darlene Love,1,22,11,1963,9122,0,121,58,212,0,242767149
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1,7,1968,15890,14,71,37,653,0,1145727611
Feliz Navidad,Jose Feliciano,1,1,11,1970,3788,0,21,3,10,0,520034544
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1,1,1970,2877,0,16,0,54,0,3192010279
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1,12,1971,10829,0,130,1,390,0,460492795
Dream On,Aerosmith,1,5,1,1973,168,0,0,0,5,0,838586769
Riptide,Vance Joy,1,1,1,1975,31123,55,300,65,"1,003",1,2009094673
Bohemian Rhapsody - Remastered 2011,Queen,1,31,10,1975,40112,3,321,162,"5,691",8,2197010679
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,16,11,1979,1685,0,1,0,29,0,403939487
Pass The Dutchie,Musical Youth,1,1,1,1982,5328,0,54,76,900,0,195918494
Miss You,Southstar,1,16,5,1982,2020,0,77,10,119,0,154356956
Every Breath You Take - Remastered 2003,The Police,1,6,1,1983,22439,19,211,74,929,0,1593270737
Take On Me,a-ha,1,19,10,1984,44927,17,34,0,"5,108",6,1479115056
Do They Know It's Christmas? - 1984 Version,Band Aid,1,25,11,1984,14169,0,209,30,449,0,481697415
Merry Christmas Everyone,Shakin' Stevens,1,1,1,1984,1087,0,90,35,5,0,351636786
Last Christmas,Wham!,1,1,1,1984,22153,0,274,111,"1,302",0,1159176109
Everybody Wants To Rule The World,Tears For Fears,1,17,2,1985,41751,25,101,32,"2,655",0,1205951614
Running Up That Hill (A Deal With God),Kate Bush,1,16,9,1985,21811,0,117,1,676,3,1024858327
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1,1,1986,888,0,50,0,6,0,429504768
Master of Puppets (Remastered),Metallica,1,3,3,1986,6080,0,112,198,406,1,704171068
Sweet Child O' Mine,Guns N' Roses,1,1,1,1987,41231,1,228,151,"6,720",3,1553497987
Something In The Way - Remastered 2021,Nirvana,1,24,9,1991,9514,0,45,27,"1,197",0,368646862
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,10,9,1991,49991,9,265,121,"12,367",4,1690192927
Creep,Radiohead,1,21,9,1992,36724,7,146,72,"6,807",5,1271293243
All I Want for Christmas Is You,Mariah Carey,1,28,10,1994,25653,0,387,132,"2,094",0,1449779435
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,28,12,1995,18773,0,128,17,"1,663",0,579395142
Gangsta's Paradise,"Coolio, L.V.",2,11,7,1995,10624,17,21,0,386,0,1357608774
Sigue,"Ed Sheeran, J Balvin",2,24,11,1996,1370,0,46,8,60,0,106933107
Cupid Twin Ver. (FIFTY FIFTY) Speed Up,sped up 8282,1,1,1,1997,472,2,0,0,6,0,103762518
Iris,The Goo Goo Dolls,1,31,3,1998,13101,9,137,5,582,0,1284942608
Yellow,Chris Molitor,1,1,1,1999,31358,43,196,2,"4,053",5,1755214421
Stan,"Eminem, Dido",2,21,11,1999,17115,0,83,63,"4,180",0,918915401
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1,1,1999,33966,0,141,78,"6,591",1,1210599487
The Next Episode,"Dr. Dre, Snoop Dogg",2,1,1,1999,31762,0,142,40,"5,451",1,843309044
Forgot About Dre,"Eminem, Dr. Dre",2,1,1,1999,19067,0,78,15,"1,674",0,675039469
My Only Wish (This Year),Britney Spears,1,7,11,2000,6952,0,115,53,286,0,261116938
Sparks,Coldplay,1,10,7,2000,10826,4,24,0,805,0,624101957
The Real Slim Shady,Eminem,1,1,1,2000,20763,27,81,53,"3,271",1,1424589568
In The End,Linkin Park,1,24,10,2000,25065,6,63,0,"6,808",2,1624165576
Superman,"Eminem, Dina Rae",2,26,5,2002,7615,14,18,51,"1,005",0,655466831
Without Me,Eminem,1,1,1,2002,21081,43,98,76,"3,889",5,1687664027
'Till I Collapse,"Eminem, Nate Dogg",2,26,5,2002,22923,0,78,46,"2,515",1,1695712020
In Da Club,50 Cent,1,1,1,2002,30427,7,235,106,"5,221",1,1202722675
The Scientist,Coldplay,1,5,8,2002,30992,6,124,25,"7,827",1,1608164312
Lose Yourself - Soundtrack Version,Eminem,1,1,1,2002,32502,21,247,54,"5,567",1,1829992958
Numb,Linkin Park,1,24,3,2003,20111,5,39,0,"7,341",0,1361425037
Mr. Brightside,The Killers,1,23,9,2003,51979,15,306,99,"5,063",2,1806617704
Mockingbird,Eminem,1,1,1,2004,12985,61,49,98,"2,394",5,1241559043
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,4,5,2004,2954,2,18,82,0,0,527033089
Gasolina,Daddy Yankee,1,13,7,2004,6457,18,98,95,453,0,657723613
Somewhere Only We Know,Keane,1,1,1,2004,20015,16,107,69,"5,239",0,1089402494
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,20,9,2005,2577,0,108,56,30,0,180577478
505,Arctic Monkeys,1,20,4,2007,13985,25,30,80,588,1,1217120710
Viva La Vida,Coldplay,1,1,1,2008,33898,62,233,0,"4,095",9,1592909789
Heartless,Kanye West,1,1,1,2008,17504,34,63,39,"1,315",0,887906111
Talking To The Moon,Bruno Mars,1,4,10,2010,7109,2,5,0,862,0,1062956628
Sure Thing,Miguel,1,25,5,2010,13801,19,137,125,435,6,950906471
Enchanted,Taylor Swift,1,1,1,2010,4564,16,24,101,113,0,621660989
Rolling in the Deep,Adele,1,29,11,2010,35684,6,195,125,"6,280",2,1472799873
Just The Way You Are,Bruno Mars,1,1,1,2010,21106,13,82,0,"2,946",0,1641426668
Danza Kuduro,"Don Omar, Lucenzo",2,1,1,2010,17138,37,119,81,974,1,1279434863
Es un Secreto,Plan B,1,20,7,2010,492,36,4,3,19,0,540654286
Set Fire to the Rain,Adele,1,1,1,2011,14739,43,88,112,"2,163",5,1163620694
Somebody That I Used To Know,"Gotye, Kimbra",2,1,1,2011,42798,0,217,136,"6,508",1,1457139296
Radio,Lana Del Rey,1,1,1,2011,9389,46,24,122,282,3,284819874
We Found Love,"Rihanna, Calvin Harris",2,1,1,2011,36843,21,321,91,"4,607",1,1235005533
It's Beginning To Look A Lot Like Christmas,Michael BublÃ¯Â¿,1,14,10,2011,12353,0,35,0,549,0,807561936
Mistletoe,Justin Bieber,1,1,1,2011,9577,0,195,111,310,0,629173063
Holly Jolly Christmas,Michael BublÃ¯Â¿,1,14,10,2011,7655,0,5,0,291,0,476244795
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,16,8,2011,6074,52,201,44,"6,551",2,1953533826
Summertime Sadness,Lana Del Rey,1,1,1,2011,20333,52,89,143,"1,632",3,983637508
Bloody Mary,Lady Gaga,1,1,1,2011,3909,0,66,26,277,3,372476382
Sweater Weather,The Neighbourhood,1,14,5,2012,16413,61,166,87,"1,056",1,2282771485
Money Trees,"Kendrick Lamar, Jay Rock",2,1,1,2012,26792,32,69,113,695,0,1093605526
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,20,6,2012,641,50,1,52,8,0,58054811
Demons,Imagine Dragons,1,1,1,2012,26694,13,65,82,"3,425",4,1840364617
Lost,Frank Ocean,1,1,1,2012,29499,11,124,27,587,0,822239726
When I Was Your Man,Bruno Mars,1,5,12,2012,2420,11,0,0,806,0,1661187319
Locked Out Of Heaven,Bruno Mars,1,5,12,2012,1622,9,0,0,356,0,1481349984
Another Love,Tom Odell,1,15,10,2012,18371,83,250,122,"3,394",19,1813673666
Payphone,"Maroon 5, Wiz Khalifa",2,1,1,2012,14143,4,56,38,"1,891",1,1479264469
Lover,Taylor Swift,1,1,1,2012,8448,23,160,110,163,0,882831184
Ginseng Strip 2002,Yung Lean,1,16,8,2013,4310,0,13,0,113,1,240769997
Santa Tell Me,Ariana Grande,1,13,12,2013,9408,0,231,106,439,0,834129063
Underneath the Tree,Kelly Clarkson,1,25,10,2013,6596,0,144,99,251,0,485285717
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,1,1,2013,52898,0,203,1,"8,215",0,933815613
Bound 2,Kanye West,1,1,1,2013,19806,7,33,11,274,0,703301727
Counting Stars,OneRepublic,1,1,1,2013,29215,43,179,97,"3,394",11,2011464183
I Wanna Be Yours,Arctic Monkeys,1,1,1,2013,12859,110,24,98,582,2,1297026226
All of Me,John Legend,1,1,8,2013,27221,0,308,118,"4,534",2,2086124197
Take Me To Church,Hozier,1,13,9,2013,23804,31,187,99,"4,623",1,2135158446
Do I Wanna Know?,Arctic Monkeys,1,1,1,2013,33783,26,133,92,"2,733",1,1788326445
Wake Me Up - Radio Edit,Avicii,1,1,1,2013,50887,34,315,160,"6,284",1,1970673297
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,1,1,2013,23389,29,54,70,"1,089",2,1267333350
Thinking with My Dick,"Kevin Gates, Juicy J",2,16,7,2013,1550,0,0,0,14,0,109091573
After Dark,Mr.Kitty,1,8,8,2014,1776,14,1,9,3,0,646886885
No Role Modelz,J. Cole,1,9,12,2014,21164,36,80,65,476,0,1791000570
Lovers Rock,TV Girl,1,5,6,2014,6339,13,3,1,36,1,466231982
I'm Not The Only One,Sam Smith,1,1,1,2014,17492,3,136,24,"1,959",0,1606986953
Shake It Off,Taylor Swift,1,1,1,2014,21335,13,328,70,"1,378",9,1113838873
The Nights,Avicii,1,1,1,2014,17354,8,92,122,"1,282",0,1456081449
Only Love Can Hurt Like This,Paloma Faith,1,1,1,2014,5148,0,90,22,365,0,588955257
Blank Space,Taylor Swift,1,1,1,2014,11434,53,154,123,410,2,1355959075
Style,Taylor Swift,1,1,1,2014,7830,42,94,111,151,4,786181836
Thinking Out Loud,Ed Sheeran,1,1,1,2014,33032,0,363,129,"3,895",0,2280566092
I Love You So,The Walters,1,28,11,2014,7536,7,44,19,135,0,972164968
Night Changes,One Direction,1,17,11,2014,7124,18,60,20,2,0,1131090940
Photograph,Ed Sheeran,1,20,6,2014,18778,3,228,105,"2,453",0,2236667932
Atlantis,Seafret,1,22,4,2015,3045,6,43,53,134,1,571386359
The Night We Met,Lord Huron,1,2,2,2015,18515,35,70,82,939,1,1410088830
Love Yourself,Justin Bieber,1,9,11,2015,22730,5,289,87,"2,430",0,2123309722
Freaks,Surf Curse,1,10,5,2015,3006,3,23,21,121,0,824420218
Daddy Issues,The Neighbourhood,1,30,10,2015,9771,4,42,70,384,0,1127468248
Makeba,Jain,1,22,6,2015,6060,53,150,148,"2,703",22,165484133
Alien Blues,Vundabar,1,24,7,2015,1930,0,3,0,28,0,370068639
Wait a Minute!,Willow,1,11,1,2015,11985,0,79,80,250,3,924193303
Space Song,Beach House,1,1,1,2015,17852,4,69,76,335,0,789753877
Cool for the Summer,Demi Lovato,1,1,1,2015,9243,0,155,5,577,0,677389855
The Hills,The Weeknd,1,27,5,2015,25744,4,122,94,"1,992",0,1947371785
No Lie,"Sean Paul, Dua Lipa",2,18,11,2016,7370,0,92,127,"1,219",0,956865266
One Dance,"Drake, WizKid, Kyla",3,4,4,2016,43257,24,433,107,"3,631",0,2713922350
Selfish,PnB Rock,1,23,6,2016,2468,0,15,0,0,0,380319238
Say You Won't Let Go,James Arthur,1,9,9,2016,15722,16,231,37,"1,509",0,2420461338
House Of Memories,Panic! At The Disco,1,15,1,2016,2948,0,10,2,150,0,582863434
Closer,"The Chainsmokers, Halsey",2,31,5,2016,28032,0,315,159,"2,179",0,2591224264
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,24,11,2016,1275,32,13,8,5,0,611700552
Starboy,"The Weeknd, Daft Punk",2,21,9,2016,29536,79,281,137,"2,445",1,2565529693
Unstoppable,Sia,1,21,1,2016,7681,13,119,66,"1,145",2,939844851
Die For You,The Weeknd,1,24,11,2016,2483,59,68,21,24,0,1647990401
Pink + White,Frank Ocean,1,20,8,2016,21574,30,112,68,266,1,806397070
There's Nothing Holdin' Me Back,Shawn Mendes,1,23,9,2016,12382,0,229,57,"1,370",2,1714490998
"Hey, Mickey!",Baby Tate,1,27,9,2016,482,0,9,1,12,4,122763672
Notion,The Rare Occasions,1,5,8,2016,2393,0,22,13,65,0,421135627
Me and Your Mama,Childish Gambino,1,10,11,2016,8775,0,33,60,107,1,445590495
Reminder,The Weeknd,1,25,11,2016,6518,17,45,85,238,1,684675814
Pope Is a Rockstar,SALES,1,20,4,2016,1966,0,4,2,50,0,156658366
"Sex, Drugs, Etc.",Beach Weather,1,4,11,2016,3006,16,47,60,87,12,480507035
Revenge,XXXTENTACION,1,25,8,2017,3600,11,7,0,203,0,1022258230
Good Looking,Suki Waterhouse,1,20,10,2017,2264,0,11,6,25,0,184706613
Dark Red,Steve Lacy,1,20,2,2017,10431,7,71,53,181,0,920045682
Hold Me Closer,"Elton John, Britney Spears",2,10,11,2017,4967,0,165,10,177,4,284216603
DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Bl,Taylor Swift,1,8,11,2017,4875,23,19,45,0,0,685032533
Lucid Dreams,Juice WRLD,1,15,6,2017,14749,0,188,34,710,0,2288695111
Something Just Like This,"The Chainsmokers, Coldplay",2,22,2,2017,23375,21,336,188,"2,692",3,2204080728
Apocalypse,Cigarettes After Sex,1,21,3,2017,13091,17,61,96,790,2,841749534
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2,6,2017,27705,10,537,122,"2,726",6,1897517891
Shape of You,Ed Sheeran,1,6,1,2017,32181,10,33,0,"6,808",7,3562543890
Merry Christmas,"Ed Sheeran, Elton John",2,10,11,2017,2209,0,72,90,141,0,135723538
lovely - Bonus Track,"Billie Eilish, Khalid",2,11,8,2017,15032,30,221,96,"1,078",2,2355719893
HUMBLE.,Kendrick Lamar,1,30,3,2017,33206,1,284,114,"1,481",0,1929770265
Infinity,Jaymes Young,1,23,6,2017,4375,0,24,0,396,0,888046992
Perfect,Ed Sheeran,1,1,1,2017,16596,13,7,0,"2,094",0,2559529074
Swim,Chase Atlantic,1,4,10,2017,2742,0,5,1,62,0,498960285
Believer,Imagine Dragons,1,31,1,2017,18986,23,250,121,"2,969",10,2594040133
Dandelions,Ruth B.,1,28,4,2017,3423,21,41,100,59,1,1116995633
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,10,11,2017,21097,52,384,135,"1,034",37,1605224506
Beggin,MÃ¯Â¿Â½Ã¯Â¿Â½ne,1,8,12,2017,8559,0,183,64,964,9,1367810478
Bored,Billie Eilish,1,30,3,2017,4204,0,39,45,250,0,777765388
See You Again,"Tyler, The Creator, Kali Uchis",3,21,7,2017,13387,64,77,58,247,1,1047101291
Snowman,Sia,1,1,1,2017,5140,0,85,110,500,0,690104769
we fell in love in october,girl in red,1,21,11,2018,6858,0,31,21,15,0,723043854
Shallow,"Lady Gaga, Bradley Cooper",2,27,9,2018,16636,12,368,155,"2,854",6,2159346687
Hope,XXXTENTACION,1,16,3,2018,3659,0,11,10,267,0,1200808494
Call Out My Name,The Weeknd,1,29,3,2018,11087,6,151,107,801,1,1449799467
I Was Never There,"The Weeknd, Gesaffelstein",2,29,3,2018,4188,15,30,70,142,0,705469769
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,9,10,2018,24094,78,372,117,843,4,2808096550
Someone You Loved,Lewis Capaldi,1,8,11,2018,17836,53,440,125,"1,800",0,2887241814
Softcore,The Neighbourhood,1,9,3,2018,3947,12,33,102,93,0,599770206
SLOW DANCING IN THE DARK,Joji,1,12,9,2018,10211,0,38,79,65,0,1122364376
Let Me Down Slowly,Alec Benjamin,1,25,5,2018,5897,19,0,0,885,0,1374581173
San Lucas,Kevin Kaarl,1,7,11,2019,407,1,5,0,5,0,244891912
Under The Influence,Chris Brown,1,4,10,2019,3859,26,133,181,3,0,929964809
Forever,Labrinth,1,4,10,2019,3618,0,21,86,138,0,282883169
Mount Everest,Labrinth,1,21,6,2019,5443,0,45,1,80,0,467727006
Mary On A Cross,Ghost,1,13,9,2019,2668,2,38,266,78,0,387080183
When I R.I.P.,Labrinth,1,4,10,2019,2578,0,8,67,66,0,203680270
Memories,Maroon 5,1,20,9,2019,9974,2,272,67,"1,066",1,1759567999
Falling,Harry Styles,1,13,12,2019,7556,0,124,24,254,0,1023187129
Heart To Heart,Mac DeMarco,1,10,5,2019,1640,0,27,27,29,1,244658767
Watermelon Sugar,Harry Styles,1,17,11,2019,21915,34,437,115,"1,212",12,2322580122
Formula,Labrinth,1,4,10,2019,3444,7,24,85,102,0,554875730
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,28,6,2019,2605,0,15,48,50,0,236872197
Lost in the Fire,"The Weeknd, Gesaffelstein",2,11,1,2019,7731,2,110,145,447,0,686734357
Those Eyes,New West,1,10,5,2019,1507,14,24,71,44,1,411747614
Still Don't Know My Name,Labrinth,1,4,10,2019,6332,0,47,116,266,0,563902868
Astronaut In The Ocean,Masked Wolf,1,1,1,2019,7191,0,146,18,478,0,1138474110
Callaita,"Bad Bunny, Tainy",2,31,5,2019,9539,15,162,116,355,7,1304313953
All Of The Girls You Loved Before,Taylor Swift,1,23,8,2019,1282,6,26,6,19,0,185240616
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,4,8,2019,5342,0,33,123,7,0,426204830
Boy With Luv (feat. Halsey),"Halsey, BTS",2,12,4,2019,4260,0,113,92,259,0,1065580332
Streets,Doja Cat,1,7,11,2019,5728,0,85,87,179,0,865640097
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,30,8,2019,2696,0,42,2,57,0,540539717
Don't Start Now,Dua Lipa,1,31,10,2019,27119,0,532,77,"1,535",3,2303033973
Before You Go,Lewis Capaldi,1,1,11,2019,8327,24,205,130,625,0,1608045237
Golden,Harry Styles,1,13,12,2019,8429,1,85,24,200,0,807015863
Car's Outside,James Arthur,1,18,10,2019,794,10,38,25,61,0,265882712
Blinding Lights,The Weeknd,1,29,11,2019,43899,69,672,199,"3,421",20,3703895074
NEW MAGIC WAND,"Tyler, The Creator",2,16,5,2019,4708,0,13,7,55,0,461437791
SeÃ±orita,"Shawn Mendes, Camila Cabello",2,19,6,2019,15010,2,453,50,"1,785",1,2484812918
love nwantiti (ah ah ah),Ckay,1,26,7,2019,5669,2,74,0,262,14,726837877
Dance Monkey,Tones and I,1,10,5,2019,24529,0,533,167,"3,595",6,2864791672
Adore You,Harry Styles,1,6,12,2019,13454,1,246,71,519,2,1439191367
Circles,Post Malone,1,30,8,2019,19664,16,391,73,633,3,2132335812
Cruel Summer,Taylor Swift,1,23,8,2019,7858,100,116,207,125,12,800840817
LA CANCION,"J Balvin, Bad Bunny",2,28,6,2019,6398,31,177,109,305,3,1435127549
Arcade,Duncan Laurence,1,7,3,2019,6646,0,107,47,584,1,991336132
Heather,Conan Gray,1,20,3,2020,6170,7,82,1,231,0,1301799902
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,13,3,2020,6734,0,47,14,90,0,530511203
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,18,12,2020,668,1,0,0,31,0,140430339
Heat Waves,Glass Animals,1,28,6,2020,22543,63,386,144,707,28,2557975762
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,20,3,2020,9161,5,240,98,468,3,1221813483
A Tu Merced,Bad Bunny,1,29,2,2020,4214,11,21,20,40,0,685071800
Mon Amour - Remix,"Aitana, zzoilo",2,21,9,2020,3221,2,67,13,139,0,578207856
HEARTBREAK ANNIVERSARY,Giveon,1,21,2,2020,5398,4,111,127,210,0,951637566
cardigan,Taylor Swift,1,24,7,2020,7923,29,106,112,142,4,812019557
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,27,3,2020,15894,8,198,13,544,0,1802514301
Good Days,SZA,1,24,12,2020,10426,2,133,109,182,1,826623384
Bad Habits,Ed Sheeran,1,3,9,2020,12755,8,344,97,945,15,1555511105
Contection,"GODZZ__-, Zakaria",2,16,1,2020,6955,0,65,45,398,0,1180896317
positions,Ariana Grande,1,23,10,2020,8207,0,175,55,95,0,1252563873
MIDDLE OF THE NIGHT,Elley DuhÃ¯Â¿,1,10,1,2020,4057,8,78,21,240,1,872137015
Sky,Playboi Carti,1,25,12,2020,3297,3,25,3,52,0,506778838
